selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage,max_power,engine,torque,años_antig
450000,145500,Diesel,Individual,Manual,First Owner,5.0,23.4,74.0,1248,190.0,6
370000,120000,Diesel,Individual,Manual,Second Owner,5.0,21.14,103.52,1498,250.0,6
158000,140000,Petrol,Individual,Manual,Third Owner,5.0,17.7,78.0,1497,124.54445499999999,14
225000,127000,Diesel,Individual,Manual,First Owner,5.0,23.0,90.0,1396,219.66895999999997,10
130000,120000,Petrol,Individual,Manual,First Owner,5.0,16.1,88.2,1298,112.77647499999999,13
440000,45000,Petrol,Individual,Manual,First Owner,5.0,20.14,81.86,1197,113.75,3
96000,175000,LPG,Individual,Manual,First Owner,5.0,17.3,57.5,1061,76.49186999999999,13
45000,5000,Petrol,Individual,Manual,Second Owner,4.0,16.1,37.0,796,59.0,19
350000,90000,Diesel,Individual,Manual,First Owner,5.0,23.59,67.1,1364,170.0,9
200000,169000,Diesel,Individual,Manual,First Owner,5.0,20.0,68.1,1399,160.0,7
500000,68000,Diesel,Individual,Manual,Second Owner,5.0,19.01,108.45,1461,248.0,6
92000,100000,Petrol,Individual,Manual,Second Owner,5.0,17.3,60.0,993,78.0,15
280000,140000,Diesel,Individual,Manual,Second Owner,5.0,19.3,73.9,1248,190.0,11
180000,90000,Petrol,Individual,Manual,Second Owner,5.0,18.9,67.0,1061,84.0,11
400000,40000,Petrol,Individual,Manual,First Owner,5.0,18.15,82.0,1198,115.0,4
778000,70000,Diesel,Individual,Manual,Second Owner,7.0,24.52,88.5,1248,200.0,4
500000,53000,Diesel,Individual,Manual,Second Owner,5.0,23.0,90.0,1396,219.66895999999997,8
150000,80000,Petrol,Individual,Manual,Second Owner,5.0,19.7,46.3,796,62.0,18
680000,100000,Diesel,Individual,Manual,First Owner,5.0,22.54,88.73,1396,219.7,4
174000,100000,Diesel,Individual,Manual,Second Owner,5.0,21.0,64.1,1461,160.0,9
950000,50000,Diesel,Individual,Manual,First Owner,5.0,25.5,98.6,1498,200.0,3
525000,40000,Diesel,Individual,Manual,First Owner,5.0,26.59,74.0,1248,190.0,5
600000,72000,Diesel,Individual,Manual,First Owner,5.0,21.5,88.8,1248,200.0,8
500000,35000,Petrol,Individual,Manual,First Owner,5.0,20.3,83.81,1199,114.0,2
575000,45000,Petrol,Individual,Manual,First Owner,5.0,21.4,83.1,1197,115.0,4
275000,28000,Petrol,Individual,Manual,First Owner,5.0,24.7,47.3,796,69.0,3
300000,70000,Diesel,Individual,Manual,First Owner,7.0,18.2,73.8,1248,172.5,7
220000,120000,Petrol,Individual,Manual,First Owner,5.0,18.9,67.0,1061,84.0,11
254999,25000,Petrol,Individual,Manual,First Owner,8.0,16.8,34.2,796,59.0,2
670000,70000,Diesel,Individual,Manual,First Owner,5.0,24.3,88.5,1248,200.0,3
150000,35000,Petrol,Individual,Manual,Second Owner,5.0,14.0,35.0,796,59.820564999999995,8
730000,2388,Petrol,Individual,Manual,First Owner,5.0,18.6,81.83,1197,114.7,2
650000,16200,Diesel,Individual,Manual,First Owner,5.0,24.3,88.5,1248,200.0,3
366000,15000,Petrol,Individual,Manual,First Owner,5.0,23.95,67.1,998,90.0,1
1149000,5000,Petrol,Individual,Manual,First Owner,5.0,17.0,121.3,1591,151.0,1
150000,42000,Petrol,Individual,Manual,First Owner,5.0,20.63,67.0,1198,104.0,4
150000,76000,Petrol,Individual,Manual,First Owner,4.0,16.1,37.0,796,59.0,8
925000,28900,Petrol,Dealer,Manual,First Owner,5.0,17.8,117.3,1497,145.0,2
425000,86300,Petrol,Dealer,Manual,First Owner,5.0,16.8,116.3,1497,146.0,7
675000,23300,Petrol,Dealer,Automatic,First Owner,5.0,18.5,83.14,1197,115.0,2
819999,32600,Diesel,Dealer,Manual,First Owner,5.0,24.3,88.5,1248,200.0,2
390000,10300,Petrol,Dealer,Manual,First Owner,5.0,23.95,67.05,998,90.0,2
425000,49800,Diesel,Dealer,Manual,First Owner,5.0,24.7,98.63,1498,200.0,5
600000,54700,Diesel,Dealer,Manual,First Owner,5.0,26.0,98.6,1498,200.0,5
850000,64000,Petrol,Dealer,Manual,First Owner,5.0,20.65,103.25,1462,138.0,2
525000,63000,Diesel,Dealer,Manual,First Owner,5.0,27.3,98.6,1498,200.0,5
265000,120000,Diesel,Individual,Manual,First Owner,5.0,21.12,88.8,1248,200.0,9
190000,110000,Petrol,Individual,Manual,Third Owner,5.0,20.36,78.9,1197,111.7,9
425000,60000,Diesel,Individual,Manual,First Owner,5.0,21.27,88.76,1396,219.6,7
630000,147000,Diesel,Individual,Manual,Second Owner,5.0,26.59,74.0,1248,190.0,5
600000,25000,Petrol,Individual,Manual,Third Owner,5.0,18.16,86.8,1196,112.0,3
650000,30000,Petrol,Individual,Manual,First Owner,5.0,21.4,83.1,1197,115.0,1
540000,40000,Diesel,Individual,Manual,First Owner,5.0,22.0,108.495,1498,250.0,4
630000,135000,Diesel,Individual,Manual,First Owner,5.0,25.1,98.6,1498,200.0,5
448000,30000,Petrol,Individual,Automatic,First Owner,5.0,20.51,67.0,998,90.0,2
500000,80000,Diesel,Individual,Manual,First Owner,5.0,21.66,108.62,1498,250.0,3
745000,70000,Diesel,Individual,Manual,First Owner,5.0,24.3,88.5,1248,200.0,4
1025000,9850,Diesel,Individual,Automatic,First Owner,5.0,24.3,88.5,1248,200.0,1
235000,60000,Petrol,Individual,Manual,Second Owner,5.0,20.36,78.9,1197,111.7,9
630000,70000,Diesel,Individual,Manual,First Owner,5.0,25.2,74.0,1248,190.0,4
450000,120000,Diesel,Individual,Manual,Second Owner,5.0,22.9,74.0,1248,190.0,7
450000,120000,Petrol,Individual,Manual,Second Owner,7.0,16.02,93.7,1373,130.0,8
450000,170000,Diesel,Individual,Manual,First Owner,5.0,20.54,103.6,1598,250.0,7
610000,90000,Diesel,Individual,Manual,First Owner,5.0,22.77,98.59,1498,205.0,5
484999,10000,Petrol,Dealer,Manual,First Owner,5.0,23.1,67.04,998,90.0,3
275000,49000,Petrol,Dealer,Manual,First Owner,5.0,19.02,67.05,1198,104.0,4
315000,32000,Petrol,Dealer,Manual,First Owner,5.0,24.7,47.3,796,69.0,4
275000,38000,Petrol,Dealer,Manual,First Owner,5.0,24.7,47.3,796,69.0,4
290000,28000,Petrol,Dealer,Manual,First Owner,5.0,19.81,68.05,1086,99.04,8
280000,32000,Petrol,Dealer,Manual,First Owner,5.0,14.0,35.0,796,59.820564999999995,3
225000,44000,LPG,Dealer,Manual,First Owner,5.0,26.2,58.2,998,77.0,10
455000,42000,Petrol,Dealer,Manual,First Owner,5.0,16.47,74.0,1198,110.0,5
351000,45000,Petrol,Dealer,Manual,Second Owner,5.0,19.81,68.05,1086,99.04,5
535000,12000,Petrol,Dealer,Manual,Second Owner,5.0,15.04,103.6,1598,153.0,8
175000,55500,Petrol,Dealer,Manual,First Owner,5.0,18.2,67.1,998,90.0,11
525000,61500,Petrol,Dealer,Manual,First Owner,5.0,18.5,82.85,1197,113.7,7
600000,150000,Diesel,Individual,Manual,First Owner,5.0,26.59,74.0,1248,190.0,4
565000,72000,Petrol,Dealer,Automatic,First Owner,5.0,19.1,82.0,1197,114.0,4
120000,68000,Petrol,Dealer,Manual,Third Owner,5.0,19.7,46.3,796,62.0,12
725000,110000,Diesel,Individual,Manual,First Owner,5.0,22.54,88.73,1396,219.7,3
185000,77000,Petrol,Dealer,Manual,Second Owner,5.0,21.79,67.05,998,90.0,11
200000,100000,Diesel,Individual,Manual,Second Owner,5.0,18.8,90.0,1248,200.0,10
